disease	drug	proximity	pval
Arthritis, Gouty	anastrozole	2	0.1647100087752
Arthritis, Gouty	ancestim	2	0.590280184349119
Arthritis, Gouty	ancrod	2	0.392435668554897
Arthritis, Gouty	andexanet alfa	3	0.98617149959517
Arthritis, Gouty	angiotensin ii	2	0.350260214298369
Arthritis, Gouty	anileridine	2	0.382088577811047
Arthritis, Gouty	anisindione	2	0.325152956357076
Arthritis, Gouty	anisotropine methylbromide	3	0.991433538871073
Arthritis, Gouty	anistreplase	2.25	0.89257021480982
Arthritis, Gouty	antazoline	2	0.309420465698755
Arthritis, Gouty	anthralin	2	0.201303450509193
Arthritis, Gouty	anti-inhibitor coagulant complex	2.25	0.811216568258282
Arthritis, Gouty	antihemophilic factor (recombinant), pegylated	2	0.363244662055771
Arthritis, Gouty	antihemophilic factor human	2.5	0.790577677149732
Arthritis, Gouty	antihemophilic factor, human recombinant	2.09090909090909	0.439140889411146
Arthritis, Gouty	antipyrine	2.5	0.886125903010447
Arthritis, Gouty	antithrombin alfa	2	0.357678434515033
Arthritis, Gouty	antithrombin iii human	3	0.935727974991015
Arthritis, Gouty	antithymocyte immunoglobulin (rabbit)	2.22222222222222	0.528566618007187
Arthritis, Gouty	antrafenine	2.5	0.82101531190107
Arthritis, Gouty	apalutamide	2.57142857142857	0.677002910078427
Arthritis, Gouty	apixaban	2	0.342684282960263
Arthritis, Gouty	apomorphine	2.93333333333333	0.99999004711783
Arthritis, Gouty	apraclonidine	3	0.991570536250259
Arthritis, Gouty	aprepitant	3	0.878848306220981
Arthritis, Gouty	aprotinin	2.5	0.8265890266389
Arthritis, Gouty	arbutamine	2.33333333333333	0.773280907426124
Arthritis, Gouty	arbutin	2	0.247443801451088
Arthritis, Gouty	ardeparin	3	0.981985765693249
Arthritis, Gouty	arformoterol	2	0.590280184349119
Arthritis, Gouty	argatroban	2	0.5
Arthritis, Gouty	aripiprazole	2.67441860465116	0.999999923261202
Arthritis, Gouty	aripiprazole lauroxil	2.84	0.999999874025224
Arthritis, Gouty	armodafinil	2	0.342684282960263
Arthritis, Gouty	arsenic trioxide	1.8	0.193631354814543
Arthritis, Gouty	arzoxifene	2	0.668726809904748
Arthritis, Gouty	ascorbic acid	2.21739130434783	0.258829878134133
Arthritis, Gouty	asenapine	2.73684210526316	0.999982782145942
Arthritis, Gouty	asfotase alfa	2	0.326246671503714
Arthritis, Gouty	asparagine	2.33333333333333	0.618526158326701
Arthritis, Gouty	aspartic acid	2.25	0.71686631322205
Arthritis, Gouty	astemizole	2.25	0.676702654447565
Arthritis, Gouty	atenolol	2.5	0.978028888565161
Arthritis, Gouty	atezolizumab	3	0.878848306220981
Arthritis, Gouty	atomoxetine	2.36363636363636	0.875987874804832
Arthritis, Gouty	atorvastatin	2	0.287943164561679
Arthritis, Gouty	atosiban	2.5	0.757502749293212
Arthritis, Gouty	atovaquone	2	0.313974599262192
Arthritis, Gouty	atracurium besylate	4	0.99614761968261
Arthritis, Gouty	atropine	3	0.999449562624924
Arthritis, Gouty	auranofin	2	0.599239516386724
Arthritis, Gouty	aurothioglucose	2.33333333333333	0.397363447230139
Arthritis, Gouty	avanafil	2	0.193738942187845
Arthritis, Gouty	avatrombopag	2.5	0.569037342493607
Arthritis, Gouty	avelumab	3	0.864333939053617
Arthritis, Gouty	axicabtagene ciloleucel	2	0.368095261747934
Arthritis, Gouty	axitinib	2	0.341358791217256
Arthritis, Gouty	azacitidine	2	0.539827837277029
Arthritis, Gouty	azatadine	2	0.184060125346759
Arthritis, Gouty	azathioprine	2	0.513236346083116
Arthritis, Gouty	azelaic acid	2	0.198581893526159
Arthritis, Gouty	azelastine	2.5	0.619714535180342
Arthritis, Gouty	azilsartan medoxomil	2	0.363244662055771
Arthritis, Gouty	azithromycin	3	0.953384822538703
Arthritis, Gouty	bacitracin	2	0.38409908550975
Arthritis, Gouty	baclofen	2.5	0.835289991224799
Arthritis, Gouty	balsalazide	2.25	0.84129272133613
Arthritis, Gouty	baricitinib	2	0.617911422188952
Arthritis, Gouty	basiliximab	1.58333333333333	2.37657948917185e-07
Arthritis, Gouty	bazedoxifene	2	0.64656753542287
Arthritis, Gouty	becaplermin	2	0.551533360387653
Arthritis, Gouty	beclomethasone dipropionate	2	0.607564331445103
Arthritis, Gouty	belatacept	2.5	0.677499620353201
Arthritis, Gouty	belimumab	3	0.912440761559609
Arthritis, Gouty	belinostat	2	0.609637312980512
Arthritis, Gouty	bemiparin	2.66666666666667	0.956090499637346
Arthritis, Gouty	benazepril	2	0.293290868807751
Arthritis, Gouty	bendazac	2.5	0.880291785581017
Arthritis, Gouty	bendroflumethiazide	2.6	0.963202136162871
Arthritis, Gouty	benralizumab	2.5	0.725828019777306
Arthritis, Gouty	benserazide	2	0.174005991918305
Arthritis, Gouty	benzatropine	2.4	0.626239237741881
Arthritis, Gouty	benzocaine	3	0.776236277462655
Arthritis, Gouty	benzoic acid	2.6	0.90539696484348
Arthritis, Gouty	benzonatate	2	0.443484292150164
Arthritis, Gouty	benzphetamine	2.5	0.825808106499374
Arthritis, Gouty	benzthiazide	2.5	0.919341390438651
Arthritis, Gouty	benzylpenicillin	4	0.998241707742189
Arthritis, Gouty	benzylpenicilloyl polylysine	2	0.1647100087752
Arthritis, Gouty	bepotastine	2	0.218002487463221
Arthritis, Gouty	bepridil	2.2	0.41669440397219
Arthritis, Gouty	berberine	2	0.400760483613276
Arthritis, Gouty	betahistine	3	0.894480529526249
Arthritis, Gouty	betamethasone	2	0.62282512785252
Arthritis, Gouty	betaxolol	2.5	0.978051510838333
Arthritis, Gouty	betazole	3	0.592429988685811
Arthritis, Gouty	bethanechol	3	0.995581607927189
Arthritis, Gouty	bethanidine	2.57142857142857	0.975625168234906
Arthritis, Gouty	betrixaban	2	0.345509460985262
Arthritis, Gouty	bevacizumab	1.5	4.29223871691771e-08
Arthritis, Gouty	bexarotene	2	0.488028085202183
Arthritis, Gouty	bezafibrate	2	0.462228720550546
Arthritis, Gouty	bicalutamide	2	0.615393999131272
Arthritis, Gouty	bilastine	2	0.28032244746676
Arthritis, Gouty	bimatoprost	3	0.995105519194478
Arthritis, Gouty	binimetinib	2.2	0.642654434663213
Arthritis, Gouty	bioallethrin	2.71428571428571	0.996667620726759
Arthritis, Gouty	biotin	2	0.0874839827108824
Arthritis, Gouty	biperiden	3.5	0.993698504571203
Arthritis, Gouty	bisoprolol	2.5	0.983291127379502
Arthritis, Gouty	bivalirudin	2	0.522943119175437
Arthritis, Gouty	bleomycin	2	0.423762097784717
Arthritis, Gouty	blinatumomab	2	0.277808710239353
Arthritis, Gouty	bortezomib	2	0.57592734943351
Arthritis, Gouty	bosentan	2	0.209619315180907
Arthritis, Gouty	bosutinib	1.9	0.276226241901778
Arthritis, Gouty	botulinum toxin type a	2	0.405648127869354
Arthritis, Gouty	botulinum toxin type b	2	0.247371967175435
Arthritis, Gouty	bremelanotide	3	0.999773591086287
Arthritis, Gouty	brentuximab vedotin	2	0.237569428041602
Arthritis, Gouty	bretylium	2	0.486763653916884
Arthritis, Gouty	brexanolone	2.61538461538462	0.669399518091809
Arthritis, Gouty	brexpiprazole	2.8	0.998125484442477
Arthritis, Gouty	brigatinib	1.88888888888889	0.299366712029422
Arthritis, Gouty	brimonidine	3	0.990277721200664
Arthritis, Gouty	brinzolamide	2.6	0.610320154773226
Arthritis, Gouty	brivaracetam	2.90909090909091	0.998411517268827
Arthritis, Gouty	brolucizumab	2	0.43054704987976
Arthritis, Gouty	bromazepam	2.6	0.737508809366033
Arthritis, Gouty	bromfenac	2.5	0.849592516692718
Arthritis, Gouty	bromocriptine	2.83333333333333	0.999996761324742
Arthritis, Gouty	bromodiphenhydramine	2	0.262421470906054
Arthritis, Gouty	brompheniramine	2.83333333333333	0.977837227613707
Arthritis, Gouty	buclizine	2.5	0.568021900030728
Arthritis, Gouty	budesonide	2	0.539827837277029
Arthritis, Gouty	bufexamac	2.25	0.804862298964531
Arthritis, Gouty	bumetanide	2.4	0.579466170609632
Arthritis, Gouty	bupivacaine	3	0.931740085891555
Arthritis, Gouty	buprenorphine	2.25	0.621387750603233
Arthritis, Gouty	bupropion	2.75	0.930885763418327
Arthritis, Gouty	buserelin	3	0.976078725546546
Arthritis, Gouty	buspirone	2.71428571428571	0.997143135018161
Arthritis, Gouty	butabarbital	2.58823529411765	0.882204586328386
Arthritis, Gouty	butalbital	2.58823529411765	0.820371677212012
Arthritis, Gouty	butamben	2.6551724137931	0.986295886481196
Arthritis, Gouty	butenafine	2	0.227761049963819
Arthritis, Gouty	butobarbital	2.7	0.929698705266724
Arthritis, Gouty	butorphanol	2	0.242690864839527
Arthritis, Gouty	butriptyline	2.33333333333333	0.665100245816536
Arthritis, Gouty	butylscopolamine	3	0.993330098283376
Arthritis, Gouty	cabazitaxel	2	0.389537016279682
